Year,week,0
2022,26,30.06923837784372
2022,27,32.54203758654798
2022,28,37.38872403560831
2022,29,46.290801186943625
2022,30,22.35410484668645
2022,31,20.178041543026705
2022,32,27.4975272007913
2022,33,42.03758654797231
2022,34,58.654797230464894
2022,35,35.70722057368942
2022,36,100.0
2022,37,53.21463897131553
2022,38,61.12759643916914
2022,39,43.916913946587535
2022,40,66.46884272997033
2022,41,51.73095944609298
2022,42,61.62215628090999
2022,43,28.882294757665676
2022,44,25.61819980217607
2022,45,43.81800197823937
2022,46,47.87339268051435
2022,47,36.89416419386746
2022,48,35.410484668644905
2022,49,36.30069238377844
2022,50,39.0702274975272
2022,51,36.79525222551929
2022,52,20.079129574678536
